,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
311,Ligue1,2018/2019,Angers SCO,44,47.51,30.01,49,46.0,Bottom Half
312,Ligue1,2018/2019,FC Girondins Bordeaux,34,37.26,27.83,42,41.0,Bottom Half
313,Ligue1,2018/2019,SM Caen,29,26.98,17.42,54,33.0,Bottom Half
314,Ligue1,2018/2019,Dijon FCO,31,36.13,25.6,60,34.0,Bottom Half
315,Ligue1,2018/2019,EA Guingamp,28,39.45,28.259999999999998,68,27.0,Bottom Half
316,Ligue1,2018/2019,LOSC Lille,68,60.04,39.87,33,75.0,Top Half
317,Ligue1,2018/2019,Olympique Lyon,70,72.72,49.3,47,72.0,Top Half
318,Ligue1,2018/2019,Olympique Marseille,60,52.08,38.55,52,61.0,Top Half
319,Ligue1,2018/2019,AS Monaco,38,46.5,30.73,57,36.0,Bottom Half
320,Ligue1,2018/2019,Montpellier HSC,53,46.62,33.17,42,59.0,Top Half
321,Ligue1,2018/2019,FC Nantes,48,48.05,30.2,48,48.0,Top Half
322,Ligue1,2018/2019,OGC Nice,30,43.44,28.92,35,56.0,Top Half
324,Ligue1,2018/2019,Paris Saint-Germain,105,95.35,69.54,35,91.0,Top Half
325,Ligue1,2018/2019,Stade Reims,39,37.13,27.44,42,55.0,Top Half
327,Ligue1,2018/2019,AS Saint-Étienne,59,57.84,38.64,41,66.0,Top Half
328,Ligue1,2018/2019,RC Strasbourg Alsace,58,40.61,27.41,48,49.0,Top Half
329,Ligue1,2018/2019,FC Toulouse,35,42.74,26.8,57,38.0,Bottom Half
330,Ligue1,2019/2020,Amiens SC,31,25.59,16.54,50,23.0,Bottom Half
331,Ligue1,2019/2020,Angers SCO,28,27.1,21.400000000000002,33,39.0,Top Half
332,Ligue1,2019/2020,FC Girondins Bordeaux,40,30.46,21.91,34,37.0,Bottom Half
333,Ligue1,2019/2020,Stade Brestois 29,34,30.05,22.2,37,34.0,Bottom Half
334,Ligue1,2019/2020,Dijon FCO,27,27.38,20.6,37,30.0,Bottom Half
335,Ligue1,2019/2020,LOSC Lille,35,40.81,24.6,27,49.0,Top Half
336,Ligue1,2019/2020,Olympique Lyon,42,36.23,24.48,27,40.0,Top Half
337,Ligue1,2019/2020,Olympique Marseille,41,36.41,26.080000000000002,29,56.0,Top Half
338,Ligue1,2019/2020,FC Metz,27,24.66,15.28,35,34.0,Bottom Half
339,Ligue1,2019/2020,AS Monaco,44,48.53,33.87,44,40.0,Top Half
340,Ligue1,2019/2020,Montpellier HSC,35,34.92,22.84,34,40.0,Top Half
341,Ligue1,2019/2020,FC Nantes,28,27.82,21.63,31,37.0,Bottom Half
342,Ligue1,2019/2020,OGC Nice,41,36.45,25.81,38,41.0,Top Half
344,Ligue1,2019/2020,Paris Saint-Germain,75,76.4,56.04,24,68.0,Top Half
345,Ligue1,2019/2020,Stade Reims,26,28.93,20.95,21,41.0,Top Half
347,Ligue1,2019/2020,AS Saint-Étienne,29,29.65,18.36,45,30.0,Bottom Half
348,Ligue1,2019/2020,RC Strasbourg Alsace,32,34.54,22.95,32,38.0,Top Half
349,Ligue1,2019/2020,FC Toulouse,22,31.3,19.09,58,13.0,Bottom Half
350,Ligue1,2020/2021,Angers SCO,40,39.92,25.21,58,44.0,Bottom Half
351,Ligue1,2020/2021,FC Girondins Bordeaux,42,43.55,31.43,56,45.0,Bottom Half
352,Ligue1,2020/2021,Stade Brestois 29,50,45.78,32.7,66,41.0,Bottom Half
353,Ligue1,2020/2021,Dijon FCO,25,31.89,21.12,73,21.0,Bottom Half
354,Ligue1,2020/2021,RC Lens,55,56.38,37.76,54,57.0,Top Half
355,Ligue1,2020/2021,LOSC Lille,64,48.05,33.25,23,83.0,Top Half
356,Ligue1,2020/2021,FC Lorient,50,48.13,30.36,68,42.0,Bottom Half
